pathways	KEGGREST_genes	name	pathwayclass	category
hsa00563	5277, 5279, 5283, 51227, 9091, 84992, 8818, 9487, 284098, 2822, 93183, 54965, 55650, 23556, 9488, 84720, 5281, 54872, 8733, 10026, 94005, 51604, 128869, 80055, 65258, 80235	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	Metabolism
hsa00564	23171, 2819, 2820, 57678, 150763, 137964, 84803, 10554, 10555, 56894, 56895, 55326, 253558, 154141, 129642, 8443, 56985, 8611, 8613, 8612, 23175, 64900, 9663, 84513, 196051, 8525, 8527, 9162, 1606, 8526, 1607, 160851, 1608, 1609, 139189, 56994, 10390, 5337, 5338, 23646, 122618, 3931, 8399, 26279, 30814, 50487, 64600, 81579, 84647, 5319, 5322, 5320, 391013, 123745, 5321, 8681, 100137049, 8605, 283748, 255189, 8398, 151056, 11145, 54947, 79888, 254531, 10162, 10434, 23659, 11313, 10908, 375775, 56261, 1103, 43, 1119, 1120, 162466, 9468, 5130, 85465, 55500, 55224, 5833, 64850, 10400, 1040, 8760, 51365, 9791, 81490, 23761, 9489, 54675, 6901, 9926, 10423, 79143	Glycerophospholipid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	Metabolism
hsa00565	8540, 8611, 8613, 8612, 85465, 56994, 10390, 387521, 387522, 8399, 26279, 30814, 50487, 64600, 81579, 84647, 5319, 5322, 5320, 391013, 123745, 5321, 8681, 100137049, 8605, 283748, 255189, 8398, 151056, 11145, 254531, 133121, 5168, 79153, 284161, 255043, 5337, 5338, 23646, 122618, 7368, 9514, 54947, 79888, 5048, 5049, 5050, 7941, 5051	Ether lipid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	Metabolism
hsa00590	8399, 26279, 30814, 50487, 64600, 81579, 84647, 5319, 5322, 5320, 391013, 123745, 5321, 8681, 100137049, 8605, 283748, 255189, 8398, 151056, 11145, 5742, 5743, 9536, 80142, 10728, 873, 874, 127281, 6916, 5730, 27306, 8644, 5740, 240, 4048, 8529, 4051, 4056, 2678, 2687, 257202, 2882, 2877, 2878, 2876, 2880, 493869, 1571, 1573, 113612, 1557, 11283, 239, 242, 247, 1555, 1558, 1559, 2053, 246	Arachidonic acid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	Metabolism
hsa00591	8399, 26279, 30814, 50487, 64600, 81579, 84647, 5319, 5322, 5320, 391013, 123745, 5321, 8681, 100137049, 8605, 283748, 255189, 8398, 151056, 11145, 246, 1544, 1558, 1559, 1557, 1573, 1571, 1576	Linoleic acid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	Metabolism
hsa00592	8399, 26279, 30814, 50487, 64600, 81579, 84647, 5319, 5322, 5320, 391013, 123745, 5321, 8681, 100137049, 8605, 283748, 255189, 8398, 151056, 11145, 9415, 8310, 51, 30	alpha-Linolenic acid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	Metabolism
hsa00600	10558, 9517, 55304, 2531, 10715, 29956, 79603, 204219, 253782, 91012, 427, 56624, 340485, 125981, 55331, 8560, 123099, 259230, 166929, 6609, 6610, 55512, 55627, 339221, 64781, 8611, 8613, 8612, 81537, 130367, 8877, 56848, 8879, 7357, 2629, 57704, 9331, 2720, 7368, 2581, 9514, 410, 4758, 10825, 129807, 4759, 2717, 5660, 768239	Sphingolipid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	Metabolism
hsa00601	84002, 8708, 8707, 10317, 2523, 2524, 2525, 6487, 6484, 28, 2683, 8704, 8703, 8702, 10690, 2526, 2527, 2528, 2529, 10402, 6489, 53947, 8706, 10678, 10331, 79369, 2651	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	Metabolism
hsa00603	127550, 8706, 26301, 53947, 2717, 10317, 3073, 3074, 4668, 2523, 2524, 6482, 6483, 6489, 10690	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	Metabolism
hsa00604	2583, 8705, 6483, 6482, 29906, 8869, 6489, 9197, 256435, 27090, 81849, 30815, 2720, 3073, 3074	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	Metabolism
