SYMBOL,ENSEMBL,type
ZBTB25,ENSG00000089775,tf
ZFHX2,ENSG00000136367,tf
SCRT2,ENSG00000215397,tf
ERF,ENSG00000105722,tf
ZNF623,ENSG00000183309,tf
ZNF623,ENSG00000276340,tf
EZH2,ENSG00000106462,tf
ZNF664,ENSG00000179195,tf
RELB,ENSG00000104856,tf
WT1,ENSG00000184937,tf
CUX1,ENSG00000257923,tf
OSR2,ENSG00000164920,tf
ZNF680,ENSG00000173041,tf
ZNF121,ENSG00000197961,tf
KLF17,ENSG00000171872,tf
NONO,ENSG00000147140,tf
ZEB1,ENSG00000148516,tf
MBD2,ENSG00000134046,tf
HCFC1,ENSG00000172534,tf
ZNF610,ENSG00000167554,tf
SP2,ENSG00000167182,tf
NFATC3,ENSG00000072736,tf
NKRF,ENSG00000186416,tf
SKIL,ENSG00000136603,tf
GLI4,ENSG00000250571,tf
ATF1,ENSG00000123268,tf
ZNF843,ENSG00000176723,tf
ZNF205,ENSG00000122386,tf
ZBTB48,ENSG00000204859,tf
ZNF318,ENSG00000171467,tf
HDAC2,ENSG00000196591,tf
MYC,ENSG00000136997,tf
EP400,ENSG00000183495,tf
FOXM1,ENSG00000111206,tf
NRF1,ENSG00000106459,tf
NCOA1,ENSG00000084676,tf
TAF1,ENSG00000147133,tf
ZNF518A,ENSG00000177853,tf
NFYC,ENSG00000066136,tf
ZBTB21,ENSG00000173276,tf
PRDM4,ENSG00000110851,tf
LARP7,ENSG00000174720,tf
ZFP69B,ENSG00000187801,tf
MEIS2,ENSG00000134138,tf
PHF20,ENSG00000025293,tf
TEAD2,ENSG00000074219,tf
TRIM28,ENSG00000130726,tf
ZNF561,ENSG00000171469,tf
GMEB1,ENSG00000162419,tf
ZNF507,ENSG00000168813,tf
ZNF324,ENSG00000083812,tf
CTBP1,ENSG00000159692,tf
ZSCAN21,ENSG00000166529,tf
PHF21A,ENSG00000135365,tf
ZNF629,ENSG00000102870,tf
ZNF692,ENSG00000171163,tf
KDM4B,ENSG00000127663,tf
ZNF558,ENSG00000167785,tf
MZF1,ENSG00000099326,tf
GFI1B,ENSG00000165702,tf
ZBTB17,ENSG00000116809,tf
NFRKB,ENSG00000170322,tf
RB1,ENSG00000139687,tf
ELF4,ENSG00000102034,tf
KLF8,ENSG00000102349,tf
TSHZ1,ENSG00000179981,tf
ZBTB20,ENSG00000181722,tf
AFF1,ENSG00000172493,tf
MEF2D,ENSG00000116604,tf
HMBOX1,ENSG00000147421,tf
PML,ENSG00000140464,tf
ZBTB2,ENSG00000181472,tf
MTA1,ENSG00000182979,tf
XRCC5,ENSG00000079246,tf
UBTF,ENSG00000108312,tf
CEBPA,ENSG00000245848,tf
MXD4,ENSG00000123933,tf
MIER3,ENSG00000155545,tf
THAP11,ENSG00000168286,tf
TCF7L2,ENSG00000148737,tf
NFE2,ENSG00000123405,tf
THRAP3,ENSG00000054118,tf
NFE2L2,ENSG00000116044,tf
HHEX,ENSG00000152804,tf
HMG20A,ENSG00000140382,tf
HMG20B,ENSG00000064961,tf
ZNF792,ENSG00000180884,tf
BCL6B,ENSG00000161940,tf
ZNF644,ENSG00000122482,tf
NFKBIZ,ENSG00000144802,tf
SMARCC2,ENSG00000139613,tf
ZKSCAN8,ENSG00000198315,tf
RERE,ENSG00000142599,tf
TEAD1,ENSG00000187079,tf
FEZF1,ENSG00000128610,tf
KAT2B,ENSG00000114166,tf
GATA2,ENSG00000179348,tf
ZMYM3,ENSG00000147130,tf
BRCA1,ENSG00000012048,tf
HES1,ENSG00000114315,tf
KLF7,ENSG00000118263,tf
TAF9B,ENSG00000187325,tf
RUNX1,ENSG00000159216,tf
ZSCAN9,ENSG00000137185,tf
TAL1,ENSG00000162367,tf
MYNN,ENSG00000085274,tf
NCOA2,ENSG00000140396,tf
ZNF146,ENSG00000167635,tf
ZSCAN23,ENSG00000187987,tf
IRF9,ENSG00000213928,tf
IRF9,ENSG00000285048,tf
DIDO1,ENSG00000101191,tf
RLF,ENSG00000117000,tf
ZNF398,ENSG00000197024,tf
KLF10,ENSG00000155090,tf
SP3,ENSG00000172845,tf
DACH1,ENSG00000276644,tf
KHSRP,ENSG00000088247,tf
RBAK,ENSG00000146587,tf
CBX3,ENSG00000122565,tf
ZSCAN29,ENSG00000140265,tf
ZNF335,ENSG00000198026,tf
BACH1,ENSG00000156273,tf
SSRP1,ENSG00000149136,tf
ASH2L,ENSG00000129691,tf
ZNF19,ENSG00000157429,tf
GATA3,ENSG00000107485,tf
RFX1,ENSG00000132005,tf
RFX1,ENSG00000288283,tf
ZBTB12,ENSG00000204366,tf
ZBTB12,ENSG00000206366,tf
ZBTB12,ENSG00000234852,tf
ZBTB12,ENSG00000234196,tf
ZBTB12,ENSG00000237900,tf
ESRRA,ENSG00000173153,tf
RBFOX2,ENSG00000100320,tf
RBFOX2,ENSG00000277564,tf
ZFP91,ENSG00000186660,tf
